narration_id,narration_text
36,"It is inside a dark ballroom. Many people are going around, dressed in official tuxes and floor-length dresses. The ceiling is bright pink, with some blue accents. The light wooden parquet floor reflects the lights. Further in the room, there are more people in small groups. Close to the observer, there is a roulette that spins, while the croupier collects the chips and moves away, walking to the other side of the room."
37,"Inside a concert hall, there is a performer on the stage with a microphone, dancing in front of a large crowd. The audience is dressed officially, and they mimic the moves of a man on the stage. People jump and wiggle their feet in rhythm. Disco lights strobe and play around. There is also another man who comes on stage at the end from the audience. He walks straight to the performer and takes the microphone from him."
38,"There is an empty black scene. There are some dots of light far away and a man stands with a flashlight directed on his face from upside down. Above him, there is a big blob of yellow color and some signs inside that resemble letters, but the resolution is not that good."
39,"Tattoo office with a man tattooing a woman's ankle. It is spacious, with another table in a corner. A tattoo master picks up a machine and moves closer to the leg, leaning in to get a closer look. The client lies there on her back, looking down to see what is going on. "
40,"Inside of a cabin of a Ferris wheel. It has bright red railings and is circular in shape. The wheel slowly spins and we can see the surroundings down on the ground with multiple cars parked and trailers. It is sunset time. We see some people walking on the ground to the merry-go-round, which shines brightly."
41,"Middle Eastern restaurant with display cabinets and some food in them. A customer walks in and picks up their food. At the same time, there is a woman who is still looking. Close to the entrance, there are clear fridges with drinks in them. Employees are cleaning the open kitchen and preparing a kebab with meat that spins on a stick."
42,"Movie theatre entrance with multiple posters of new films. In the centre, there is a check-out with a cashier talking to the customers. People are walking to the doors of the cinema halls. In the corner, people are walking up and down the stairs."
43,"Inside of the room with hay and mats on the floor. 8 dark puppies are inside the room. 3 of them are playing with each other, biting and sniffing. Other puppies are asleep under the warming lamps."
44,Inside a dark tunnel at night. The walls are made of stone. There is one pipe going along it closer to the floor. There is only one lamp that shines on the side.
45,"Inside of a church with a few rows of chairs. It is bright inside. Near the lectern, there is a coffin with a big pile of white flowers on top of it. There is no one inside. There is a cross on the wall, and windows have some mosaic on them."
46,"Inside of an old catholic church, there is an orchestra giving a performance. The dirigent faces the audience with his back, meanwhile the audience is sitting on the bench. The orchestra plays following the gestures."
47,"Surgeons are performing a procedure inside the operating room. It is really bright inside with multiple sources of light. They are wearing blue costumes, while around one table in the centre. "
48,"Inside the supermarket, there are aisles of canned goods. A woman wearing a green coat comes to the boxes with tea and stands there for some time. She picks up one and places it in her basket and goes away."
49,"Outside, in the park somewhere in the city. The point of view is on the green grass, overlooking some tall office buildings. There are some cars parked outside of the park."
50,"Inside the building corridor, there are armed men in black bulletproof vests and masks. They retreat to the back and point the gun at the end of the corridor. There is also another person standing against the wall, wearing blue vest. They do not take part in the whole action."
51,"Inside the shooting range, there are two men and one woman who shoots in the target. All of them wear earmuffs. One man helps her to reload the gun, while the other stands there in the back."
52,"Winter day in the countryside, ground covered in snow. Sun is really bright, and there are trees growing in one straight line "
53,"A lot of people are sitting on the rocks. They mostly sit in pairs. Behind them there is a park with trees, and a city skyline."
54,"Inside the studio, we see a drummer practicing on his set. There are multiple drums in the other corners of the room."
55,"The gun shop. There is a man in a cap who is polishing his gun, looking at it, and assembling. There are rows of riffles behind him, on display. "
56,"During a fitness practice in the gym, there are 5 women with a barbell on their shoulders, performing squats. The gym is bright inside, with one big circular light source in the centre. After squats, they start doing Bulgarian split squats with the same barbell."
57,"There is a large living room, and a big blue couch sits in the center, where a woman is seated. Near her, there is a baby on a pillow. She feeds the baby from a bottle. We see a dining table behind them. "
58,"A panoramic view. There is a big white ledge made out of concrete and tiles. In the left corner, there is a tower with four columns. It is brown. "
59,"Train station, while one train departs. People leave with suitcases rolling behind them. It is sunny and bright outside. In the centre, there is a staircase that leads underground, and some people go there. At the end, a man is passing by with a trolley."
60,"Dark bathroom with candles. One candle is on top of a sink, twinkling in the wind. The other is next to it."
61,"Outside in winter, there is a person shoveling snow from their car. It is a street with houses 2-3 stories. There are a lot of other cars along the street as well"
62,There is a corridor that resembles a prison cell with barrs in each room. Inside of a small room there is a dog who plays with the rug on the floor. It wiggles it's tail.
63,"It is a beach in the morning, with the sun high up in the sky. The sea is light blue, with the waves along the shore. The sand is white. There are some people closer to the water. There are also beach houses further behind the fence that divides the beach from the grass."
64,"A person is playing the piano, next to the open window with a view of the city. It is dark outside, and the houses have light in their windows. There is another piano as well, put nobody plays it. "
65,"It is a veterinary office with white tiles on the walls. There are kittens inside the small units, going around from side to side. The cats are white with black marks on them. To the right, there are two sinks and kitchen-like cabinets at top. One cat tries to escape its little chamber, so it climbs up the wall inside it."
66,"It is a veterinary office with white tiles on the walls. There are kittens inside the small units, going around from side to side. The cats are white with black marks on them. To the right, there are two sinks and kitchen-like cabinets at top. One cat tries to escape its little chamber, so it climbs up the wall inside it."
67,"In the countryside of the chicken farm. Multiple hens are going around in the grassfield. Behind them there is a barn with a poster that says Freeland. Chickens go around, flying and tasting the grass. The weather is cloudy and the trees behind do not have any leaves on them."
68,"Busy square in the city. There are advertisements on the glass buildings. There is a woman in the centre, she tries to take a picture. She does a pose of her hands up in the air, and the photographer suggests her to try another angle. She goes to the other corner. Meanwhile, a lot of people cross the street, cars go around."
69,"Barber's office. One man does a haircut on the other. He trims his hair. There are only two of them in the shop, but there are multiple empty chairs."
70,The ambulance car. There is a patient and a nurse checking his vitals on the screen. The patient is covered with blankets and has an oxygen mask on his face. She writes something down on the paper. 
71,Inside of the pig farm. There are many small pigs running around and feeding from separate containers filled with food. The containers have blue lids. Each enclosure consists of a small green fence.
72,"Inside of a museum exhibition. The exhibition is dark to resemble a night with a bright northern light picture. There are figures of animals such as bears, moose, and fish. There are also figures of people dressed in fur, covered head to toe. There is also one real human who stands and looks at one part of an exhibition with a wolf in it. "
73,"There is a person inside a shooting range, sitting and aiming at the target with a gun. He is wearing headphones and glasses. The shooting range has three seats and is not very big. Behind a man, there is a wall with a fire extinguisher and a table. "
74,"In a city. A double-decker bus of red color comes to a stop and picks up people. Behind a bus, on a square, there is a big white building in a classical style. On the right side of the bus stop, there is a fountain. "
75,"In a city. A double-decker bus of red color comes to a stop and picks up people. Behind a bus, on a square, there is a big white building in a classical style. On the right side of the bus stop, there is a fountain."
76,"Inside of a preson cell. There is a bed, a wardrobe and a table with chair and a toilet. On top of the bed there is a small window with the bars on it."
77,In a grass field. There is a landing place for the helicopter. The helicopter slowly approaches the ground. It is yellow. There is a warehouse in the back. There are also yellow tall boxes made out of profiled sheets.
78,Inside of a small bedroom. Three men are laughing really hard. They clap and slap in excitement. One of them leans on the wall.
1,"There is a bathroom, with a silver toilet and made of white tile walls with a blue strip of tiles. There is a white garbage bin that's half full. There are three toilet paper rolls, one roll is hanging out ready to be used. The blue tiles are in a pattern of light blue and dark blue. The entrance for the washroom is a large silver door. The bathroom is clean.  "
2,"The room is covered with gas dials and large spigots on the ceiling, there are wires and cables all over the room. There are gadgets and buttons with black covers on the wall. From top to bottom there are buttons, and handles. There are silver small railings to hold. The floor is painted white and the paint is chipping. There is a small red ramp, and next to that there is a small metal staircase leading to another room. The room is well lit. There is red writing on some of the gas dials, there is a grey and red box on one corner."
3,"This scene shows an empty cafe or restaurant, the chairs are empty, the chairs are coloured in grey and orange and the tables are white with plants and grey dining table covers. There are white pillars around the restaurant area. There are black chandeliers made of four candles hanging from the ceiling. There are green and grey booths on the wall. The room is surrounded by floor to ceiling mirrors, the mirrors are covered by see through curtains and cars pass on the busy road."
4,"In this room there is a floating bed with a man sitting on it, a small reading desk with a black chair, the desk as a remote and other items like a small plant. The curtains are seen through, some of them are open letting in light. There is a small side shelf floating next to the bed. A man wearing a plaid shirt and blue jeans has his legs crossed and is lying on his back on the head of the bed . The man is using his phone and he puts his phone next to the side shelf, he takes a few steps out of his bed and grabs a remote. He turns the TV on standing and sits back down on the bed. The TV is small and mounted across the bed."
5,"This scene shows a bloodied bathroom that has a laundry washer. The washer has a bloodied axe and an organ. There is a walk-in shower with white curtains that are covered in blood stains. The bathroom is made of white tiles that are covered in bloodied hand prints and the text “RUN” on top the bathroom tiles there is a framed rectangular picture of a speed boat. There are red towels on the floor and next to the sink. The sink has a mirror cabinet that has blood stains. The white porcelain sink has more blood going down the drain. There is a black box on the floor, next to the box there is a heater. The toilet is white but has some blood covered and the seat is closed."
6,"This scene is of a bird housing shed. The shed is made of cedar wood planks, there is a large window and an open door entrance. There is a wooden white shelf on one of the walls. The shelves had some toys and slits in them. On the floor there is a yellow bucket, a stool and wooden square planks on the corner. The floor has a silver feeding trout. The birds are sitting on wooden triangles mounted on the wall. They fly down and eat from the feeding trout. They pick at it for a bit and fly back up"
7,"The room is small, painted in a light yellow colour with thick cable wires mounted to the tops of the walls lining the room and ceiling, the wires are held together by small metal pieces. The wall has a corded phone hung, there is a small black box that has a button to open a door adjacent to the button. Across from this wall, there is a rectangular light mounted on the wall. On this second wall there is another large metal door. The door slowly opens and a man in a hazmat suite enters the room. The door closes behind him. He walks to the second door and presses the button to open the door. He takes a step back and waits for the door to open"
8,"This scene shows a hilly forest with a trail going down a hill leading to a windy pathway. The trees are dead, and a lot of leaves cover the floor. There are patches of snow on the ground, the forest has indented ground patches and the snow covers these areas. The sky is sunny. The wind blows against the branches of the dead trees."
9,"There is a busy fire station, with large red bay doors. The station has four doors, two of them are closed while the other two are open. Two vehicles are reversing into the bay doors. One of them is a smaller ambulance that is red with a bright yellow strip. The other is a large red fire truck with silver side sliding doors and a hose at the back of the truck. Their reverse lights are blinking as they slowly back up into the station. Next to the station there is a neighbourhood of condos. The neighborhood is quiet with no driving cars or people. The pavement is wet, the leaves fell off the trees and the sky is gloomy."
10,"This scene is a soccer field busy with people playing and watching the game. A few of them are sitting on chairs watching while most stand around. Some are sitting far on the wired fence that is surrounding the field. The field is a bit patchy. There are two teams playing, an orange team and yellow team wearing coloured pinnies. The ball is kicked in the air from a distant player and players from the teams rush to grab the ball, two players run into each other and one fouls the other. The ref blows his whistle, the player in yellow helps the orange player on the floor and pats his shoulder. The injured players get up and rejoin the match. The ball is brought back and another player does a free kick."
11,"The scene is looking at a small town from a building with metal scaffolding, there is a green mesh surrounding the scaffolding. The building diminished. The town is made up of houses with large pointy triangular roofs, in the center of the town there is a large building with a lawn surrounding the building, this building has white and black metal and stone fencing, there are some large trees planted and there is a drive way that is open leading to the house. Next to this house there are a lot of other houses with similar designs. The road is clear and one car is parked there. "
12,(missing)
13,"A lady is spray painting the side of a building. The building looks abandoned with broken glass and vines growing on the side of the building. There is a lot of garbage next to the building like loose cement bricks, white bucket squares filled with grass, tires and other small items. Behind one of the large white squares on the ground there is a man wearing a black hoodie looking around. The lady is painting over a white gerifiti mark, the gerifiti is on a silver large door of the building. She moves her body around and takes a second and stops looking at the paint job as she continues to spray the paint."
14,"This scene is a long tunnel, it has a narrow comment pathway big enough for a bike to go down. On the edges there is a small sidewalk on both sides of the path, there is a yellow paint trip separating the sidewalk from the bike path. The tunnel is well lit with walls made of half tile and metal heaters attached to the wall. There are vents mounted on the wall. A man drives down the pathway on his bike, the bike has one light on. Behind there are two people walking. The tiles are coloured white, there is a blue strip of pain at the top half of the tiles, and orange paint on the ceiling."
15,"This scene is a dance hall, in the center there is a dance group, performing hip-hop dance moves as a group. They wear matching outfits and perform in a large open room, there is a large crowd of people sitting down watching them. The stage and dance area is lit with flashing disco lights and blue and pink lights. There is a stage area with a large LED sign that says “hull”. The crowd is cheering and some are clapping for the dancers."
16,"This scene is an underpass tunnel area that is dark which leads to an open field with trees and bushes. The sun has set and there is little light in the sky. A man is riding his bike down this path, a lady passes him but a man rushes at her from the dark shadows of the underpass and he takes her. The lady attempts to resist and screams but the man drags her into the corner."
17,"There is a trail that comes from an open field, and leads to an area that is covered by tall dead trees, the floor is covered in leaves but the pathway is clear. A man near the bushes and trees wearing a black outfit puts on an anonymous mask and hides behind the tree as he crouches down. A lady running down the path encounters the man, he grabs her. The lady screams and tries to resist but the man drags her behind the tree trunk. The lady is wearing a green athletic shirt and black pants"
18,"This scene shows a busy go-kart racing track, the track is lined by a black and green curb that outlines the tracks. The track ceiling is made of a metal ceiling with exposed metal bars and large patches of glass on the ceiling bringing in light. There are drivers going fast on the track, wearing helmets and driving different coloured go karts."
19,"We are shown a room with large vaults that have silver handles and magnets on them. On these large doors there are multiple papers and signs hanging on the wall. The room has yellow tiles. There is a large silver transport cart on the side, some storage containers, a sink area with white cupboards and a blue garbage bin next to it. A woman enters the room wearing scrubs, and gloves, she opens one of the vaults and removes a body tray, there is a body covered in white paper on the silver tray. She leaves the door open and the door is helped open by the tray, she leaves the room after this."
20,"This scene shows the entrance of a hospital where multiple paramedics are walking in throug the sliding automatic doors. An ambulance light flashes in the distance and we can hear some noise. The paramedics walking and in between is a person lying down on a stretcher, the man is strapped in the stretcher with multiple belts going across his body and he has a lot of medical items on him. Some of the paramedics are wearing black uniforms while others are wearing yellow and red, some of them carry ipads while the others help push the patient and others carry charts that dangle down. They walk together and a lady in front of the group opens the door and they all enter the room as the glass slide doors open."
21,"This scene is in a physician hospital room, a doctor sits in front of a patient using medical equipment to look at his eyes, the patient is sitting on a black chair, next to him is a red chair and a lime green desk with some medical equipment on top and next to the desk. The room has a hospital bed, some yellow coloured cabinets and drawers on one side and the door into the room is open with the number 14 printed on the door in orange. The doctor is wearing a white lab coat while the patient is wearing a black shirt and dark coloured pants."
22,"A woman is standing in front of the entrance of a hospital, she is wearing all white and is digging through a bag that she carries on her arm. She puts her bag on her shoulder as she walks around the entrance, she is coughing and she is hunching down after every cough. The hospital entrance is not busy, with her only standing there. The doors to the hospital are clear see through glass with a red line strip going through the middle laterally. There are two blue garbage bins in front of the doors. The lady walks towards a small shelter next to the doors behind a wall."
24,"This scene is of an eastern european church made of old stone, the paint is chipping and the windows of the building are carved in. Next to this white building there are multiple housing complexes, some are coloured yellow, beige, red. All the buildings are designed in an easter european  style. In front of these buildings there is a large and open road made of small square stones. On this road some people are walking casually, a bike is parked next to the church. "
25,"A lady dances inside an empty dance studio, she's standing on her hands and moving her legs in a wave like motion upside down. The dance studio has some silver poles around the room. The floors are made of grey wood, on the wall there are purple silhouettes of people dancing painted on the wall. There are mirrors mounted on the wall with purple LED lights on the floor. There is a small window at the top of the wall. One wall has three children silhouettes painted, the other silhouette is on the adjacent wall with one woman dancing.There is music playing and the woman is dancing and ends up landing on her knees to finish the dance."
26,"Two horses are behind a small wooden fence, one horse is all white and the other is golden brown with a white strip on its head. The horses are looking around, some are picking at the floor. The stable is made of two houses, one connected to the fenced horse area and another white building is connected to the stable house. The grass is covered in dead leaves, next the fence there is a small muddy trail, on one side there are some wires and random items lying on the ground. The trees are skinny and dead. "
27,"This scene shows the end of a water slide. The water slide is orange and leads to a room made of white tiles with floor vents and a silver railing next to the exit of the waterslide. On one side of the slide there are small water floats stored. People calm down the rushing waterslide, some of them are making sounds of excitement, they exit the slide and hurley move to the door next to the slide. There are two people who are riding singular red and yellow floaties while a couple comes down riding a blue double floatie."
28,"There are men dancing on a stage wearing white tank tops and tight jeans with timberland boots. They are dancing in sync to loud music, they rip their shirts and dance, they are doing tricks and jumping over each other, they swing their shirts around the side fast and hold it above their head and stop to pose. The stage is coloured with pink, blue and red lights. THere are multiple people watching in the crowd and they cheer for the performance."
29,"Multiple people are on a hill overseeing a city in the distance. Some are sitting down on a leather brown couch, others are sitting on the ground. Some are sitting in black metal chairs while others are standing around. Some of them are smoking and others have drinks in their hands. They are swinging their bodies to music. The people are wearing jackets and layers of clothes, the sky is a bit cloudy and the trees close to the people are leaves. The area is busy, with multiple people crowded in the same area, some people are hugging each other. "
30,"This scene is of a mansion that is painted white, it has a canopy patio and balcony, the roof has a decorative trim, and the building has large windows. The front of the building there is a large open driveway where some people walk by. There is a statue on a pedestal, and next to it there is a bench. The area around the house is well landscaped, with bushes cut  well. More benches line the side. Some people walk by the front of the house. "
31,"A zookeeper feeds animals, she has a bucket of food and a pack of animals follow her around. The area she is feeding them in has broken tree stumps and tall and skinny trees surrounding the area. The ground is covered in leaves. The animals peck at the floor to eat the food. There is a signage area with a small roof and shelter area, it holds clear glass."
32,"A zookeeper feeds animals, she has a bucket of food and a pack of animals follow her around. The area she is feeding them in has broken tree stumps and tall and skinny trees surrounding the area. The ground is covered in leaves. The animals peck at the floor to eat the food. There is a signage area with a small roof and shelter area, it holds clear glass."
33,"There is an overpass that goes over a busy road with cars speeding below. The overpass has red railings and a lady is leaning against the railing watching the cars pass by. There is a small road on the bridge overpass, and a car passes by. There are trees lining the road, they are coloured in green, yellow and orange."
